NOM;NUMERO;FACTION;UNICITE;TRAITS;TYPES;TEXTE;COUT;ADORATION;ATTAQUE;DEFENSE;DUREE;ICONES;RAPIDITE;ILLUSTRATION;NOMBRE;CARTE
Iron Tactitian;165;5;;Strategy;Zealot - Warrior;Strategy\13\ \13\{Assault} Use the Strategy trait of this card: Reveal your top Crusade card. If this is a Tactic Event, you can play it as an additional action. If this is not a Tactic Event or you can't play it, draw it and then discard a card from your hand.;6;2;2;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\iron tactician.jpg;1;WORSHIPPERS
Miracle Maker;173;5;;Piety;Djinn - Priest - Wizard;Piety 2\13\ \13\{Devotion}: A Worshipper gains the Strategy, Flight or Slide trait (your choice) until the end of the Day.;3;1;0;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\miracle maker.jpg;1;WORSHIPPERS
Old Woman Henky;159;5;U;Fanatism;Zealot - Scholar;Fanatism - Strategy - Flight\13\ \13\{Reaction} When you use the Strategy trait of a Worshipper you control: Draw a Crusade card and give this card +2/+0.;6;3;3;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Henky.jpg;1;WORSHIPPERS
Partisan of the Whole;;5;;Prestige;Djinn - Wizard;Prestige 1 - Shot 0\13\ \13\{Assault] Discard the first card of your crusade deck : Exhaust an opposing Worshipper with Attack Power equal to or less than the Elemental Burst of the discarded card, if able.;7;2;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\partisan whole.jpg;1;WORSHIPPERS
Poppu, Master of Fire and Ice;160;5;U;Fanatism;Djinn - Wizard;Fanatism - Slide\13\ \13\{Assault} Exhaust this card: Deal 2 damages to a Worshipper opposed to this card. You can move this card to the Ground.;5;2;2;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\poppu.jpg;1;WORSHIPPERS
Slave of the Noxious Dune;172;5;;Resilience;Zealot - Schemer;Resilience\13\ \13\{Assault} Even if exhausted, discard a card from your hand: Move this card to the current battle so that it is opposed. Stand it if it moved.;7;1;4;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\slave elemental.jpg;1;WORSHIPPERS
Studious Apprentice;170;5;;;Ancient - Scholar;\13\This card has +1/+0 for each time you used the Strategy or Slide traits this Day.;2;1;2;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\studious apprentice.jpg;1;WORSHIPPERS
Survival Expert;174;5;;Strategy;Zealot - Schemer - Scholar;Strategy - Survival\13\ \13\{Reaction} When an opponent draws a Crusade card during Devotion or Assault phase: Draw a Crusade card.;4;0;1;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\survival expert.jpg;1;WORSHIPPERS
Acrolyk Dancer;109;2;;;Rockskin - Beast;\13\When a shield is put on this card, gain 1 Adoration.\13\\13\{Assault} If you control more Worshippers in the current battle than your opponent: Exhaust a non-Exalted Worshipper opposed to this card.;3;1;2;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\ROCK GOLEM.jpg;1;WORSHIPPERS
Acrolyk Slayer;103;2;;Prestige;Guardian - Priest;Prestige 1\13\ \13\{Devotion} Add 1 Shield to a KKolossus part or a Worshipper.;5;2;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\FIRE KNIGHT.jpg;1;WORSHIPPERS
Akars, High Templar;108;2;U;Prestige;Guardian - Hero;Prestige 1 - Survival - Heal 1\13\ \13\This card does not need to exhaust to use Heal.\13\\13\{Assault}: Exhaust a Worshipper opposed to this card with less Worship than this card. Gain 1 Adoration if a Worshipper with 1 or less Worship is exhausted this way.;8;3;4;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\BRONZE KNIGHT.jpg;1;WORSHIPPERS
Ancient of the Plains;107;2;;;Rockskin - Hero - Priest;\13\{Open} Even if exhausted, add 2 Damages to this card : Add 2 Shields token or 2 Damages to a KKolossus part and draw a Devotion card.;3;2;1;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\GUARDIAN KAYOU.jpg;1;WORSHIPPERS
Believer of the Rose;116;2;;Fanatism;Guardian - Schemer;Fanatism\13\ \13\{Assault} Exhaust this card: Give Worshippers opposed to it -1/-0 until the assault ends. Move this card to the ground or gain 2 Adorations. ;7;3;2;5;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Knight of roses.jpg;1;WORSHIPPERS
Burn Master;112;2;;Shot;Guardian - Scholar - Wizard;Shot 0 - Prestige 1 - Fanatism\13\ \13\{Reaction} When this card performs a shot, discard a Crusade card from your hand: Raise the shot damage by 2.;6;2;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\FURY.jpg;1;WORSHIPPERS
Disciple of Magma Idol;;2;;Protect;Rockskin - Scholar;Protect 1 - Heal 1\13\ \13\Each time you remove a Shield from a Worshipper you control, add a Construct token on this card.\13\\13\{Twilight} : Remove 3 Construct tokens from this card : Deal 1 Damage to any Kkolossus part. If you target the opponent Head part, destroy this card.;3;1;1;1;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Disciple of the Magma Idol.jpg;1;WORSHIPPERS
