NOM;NUMERO;FACTION;UNICITE;TRAITS;TYPES;TEXTE;COUT;ADORATION;ATTAQUE;DEFENSE;DUREE;ICONES;RAPIDITE;ILLUSTRATION;NOMBRE;CARTE
Akuma, the Infernal;138;4;U;Fanatism;Demon - Shadow - Schemer - SupremeLeader;Fanatism - Prestige 1 - Evolution {Demon}\13\ \13\{Reaction} When this card is materialized from a Rift: Deal 2 damages to all Worshippers on Ground. You gain and your opponents lose as much Adorations as the number of Deviants destroyed this way.\13\\13\{Assault}: Take control of a Worshipper opposing this card until the end of the Day (it remains at the same location). If it is Deviant, it is destroyed at the end of the Day.;12;3;7;6;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Akuma infernal.jpg;1;WORSHIPPERS
Avatar of the Pain;143;4;;Reach;Shadow - Schemer;Reach\13\ \13\{Assault}: Exhaust a Deviant opposed to this card.;7;2;4;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Avatar de la souffrance.jpg;1;WORSHIPPERS
Darkness Whisperer;146;4;;Piety;Shadow - Priest - Schemer;Piety 2 - Heal 1\13\ \13\{Devotion} Target a Worshipper: If it performs an ability or is assigned during an assault this Day, it becomes Deviant.;5;1;2;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Chuchoteur des tenebres.jpg;1;WORSHIPPERS
Demon of Weakness;154;4;;Flight;Demon - Hero - Warrior;Flight - Shot 0\13\ \13\{Reaction} When this card performs a Shot targeting a Deviant: Increase the Shot damages by 2.;5;0;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Demon de la Faiblesse.jpg;1;WORSHIPPERS
Demonic Corruptor;155;4;;Shot;Shadow - Wizard;Shot 0 - Slide\13\ \13\This card has +1/+0 per Deviants in the enemy army.\13\\13\{Reaction} After the assignation segment ends: Move this card so that it is opposed to a Deviant.;7;2;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Devot de la faiblesse.jpg;1;WORSHIPPERS
Elend, the Mad One;142;4;U;Fanatism;Shadow - Schemer;Fanatism - Prestige 1\13\ \13\{Reaction} When a player gains or loses adoration: Negate the gain or loss and add as much damages to this card as the amount negated.\13\\13\{Open} Remove a damage from this card : Deal 1 damage to a Worshipper.;5;2;3;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Eland la folle.jpg;1;WORSHIPPERS
Failed Experiment;156;4;;;Aslant - Demon - ;\13\{Reaction} When this card is discarded from a KKolossal Rift during an assault: Deal 2 damages to a Worshipper in the current battle.\13\{Assault} Destroy this card: Draw 2 Devotion cards. You can replace a card in one of your KKolossal Rift by this card instead of putting it in your discard pile.;3;0;3;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Experience.jpg;1;WORSHIPPERS
Femto, the Black Angel;141;4;U;Slide;Demon - Angel - Hero - TheFifth;Slide - Fanatism - Resilience\13\ \13\{Assault} Discard a Worshipper from a KKolossal Rift: Deal damages to a Worshipper opposed to this card equal to the Worship value of the discarded card + 1.;7;2;4;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Fetmo ange noir.jpg;1;WORSHIPPERS
Hell Offspring;152;4;;;Demon - Beast;\13\{Reaction} When this card is discarded from a KKolossal Rift during an assault: Materialize it in the current battle at any location.;2;1;2;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Rejeton enfer.jpg;1;WORSHIPPERS
Immortal Paria;151;4;;Survival;Demon - Wizard;Survival\13\ \13\{Assault} Discard a card from one of your KKolossal Rift: Draw a Devotion card. You may take an additional action to play it.;6;1;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Pariat immortel.jpg;1;WORSHIPPERS
Poisonous Drifter;;4;;Resilience;Demon - Beast;Resilience\13\ \13\{Reaction} When you discard a card from a KKolossal Rift : Deal 1 damage to the corresponding KKolossus part.;6;2;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Poisonous Drifter.jpg;1;WORSHIPPERS
Shadow Courtesan;145;4;;Fanatism;Shadow - Schemer - Scholar;Fanatism\13\ \13\{Devotion} Exhaust this card: An opponent chooses a standing Worshipper he controls and exhausts it.;3;2;0;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Courtisane des tenebres.jpg;1;WORSHIPPERS
Shadow Inquisitor;;4;;Fanatism;Shadow - Schemer;Fanatism\13\ \13\{Open} Target a Deviant Worshipper : Deal 1 damage to a KKolossus part at Height 1.;5;2;1;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Shadow Inquisitor.jpg;1;WORSHIPPERS
ShapeStealer;148;4;;Slide;Shadow - ShapeShifter - Wizard;Slide\13\ \13\{Open} Target an opponent Worshipper: Its controller chooses one =>\13\- Its Worshipper becomes Deviant (can't be chosen if alrealdy Deviant) \13\- This card copies one of its printed characteristic (AP, E, Ability, Trait...) that does not copy abilities.;6;2;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Eleveuse de demons.jpg;1;WORSHIPPERS
Soul Consumer;;4;;;Shadow - Wizard - Devour; - Reach\13\ \13\At the beginning of the Assault Phase, gain X Will where X is the number of Deviant Worshippers opponents control.\13\\13\{Reaction} When a Deviant Worshipper is destroyed : Materialize a 3/3 Demon Beast with Climb on Ground.;8;1;3;5;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Soul Consumer.jpg;1;WORSHIPPERS
The Marked One;147;4;;Reach;Demon - Warrior;Reach\13\ \13\{Assault}: Give -3/-0 to a Worshipper opposed to this card. If it now has 0 Attack Power, it becomes Deviant.;4;1;2;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Le marque.jpg;1;WORSHIPPERS
Thousand Eyes Yog;139;4;U;Fanatism;Demon - Beast - Wizard;Fanatism - Survival\13\ \13\{Open}: Discard a card from a KKolossal Rift.\13\\13\{Assault} If this card is opposed, pay the Will cost of a Beast without Fanatism in a KKolossal Rift minus 2: The Worshipper is materialized under your control at this card location.;8;2;6;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Yog au milles yeux.jpg;1;WORSHIPPERS
Ungodly Sorcerer;150;4;;Piety;Shadow - Priest - Schemer;Piety 2\13\ \13\While this card is in play, your Demons have +1/+0.\13\\13\{Assault} Even if is exhausted and/or not in the current battle: Switch the position of the cards in two KKolossal Rifts of the same player.;5;2;1;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Incantatrice impie.jpg;1;WORSHIPPERS
War Demon;153;4;;Flight;Demon - Beast - Warrior;Flight\13\ \13\{Assault} Exhaust this card and discard a card from the KKolossal Rift at this card location or from one of your KKolossal Rift: Exhaust a Worshipper opposed to this card with less or equal Attack Power than the discarded card. Stand this card if you discarded a Warrior.;9;2;5;5;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Demon de la guerre.jpg;1;WORSHIPPERS
Winged Demon;149;4;;Flight;Demon - Beast - Warrior;Flight - Protect 1 - Shot 1\13\ \13\;7;1;5;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Demon aile.jpg;1;WORSHIPPERS
Zerfall, the Ancient One;140;4;U;Fanatism;Shadow - Schemer - Scholar;Fanatism - Heal 2\13\ \13\{Devotion} Exhaust this card and target a Worshipper: Exhaust it if it is Deviant. If not, its controller chooses whether it becomes Deviant or exhausted.\13\\13\;3;3;0;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Zerfall.jpg;1;WORSHIPPERS
Abana, Sky Slayer;161;5;U;Fanatism;Zealot - Wizard;Fanatism - Slide\13\ \13\{Assault} If this card is on a KKolossus part, even if not in the current battle : Move to the Ground an opponent Worshipper that is not opposed to this card.\13\;7;3;4;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\abana.jpg;1;WORSHIPPERS
Adept of the Elements;162;5;;Heal;Ancient - Schemer - Elementalist;Heal 1 - Prestige 1\13\ \13\{Open} Dematerialize Crusade cards in your discard with a total Elemental value equal to or higher than 4 : Deal 1 damage to a KKolossus part at Height 1.;6;3;1;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\sand traveller.jpg;1;WORSHIPPERS
Air Bender;164;5;;Slide;Djinn - Wizard;Slide\13\ \13\{Reaction} After this card moves : Deal 2 damages to a Worshipper opposed to this card. You can exhaust this card as an additional cost to target the KKolossus part at its location instead.;7;2;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\air bender.jpg;1;WORSHIPPERS
Blood Eraser;167;5;;Reach;Zealot - Scholar;Reach\13\ \13\{Assault} Discard a Crusade card: Draw a Crusade card. You can take an additional action to play it.;6;2;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\blood eraser.jpg;1;WORSHIPPERS
Blue Orion Bowman;169;5;;Strategy;Djinn - Hero - Scholar;Strategy - Shot 1\13\ \13\{Reaction} When this card performs a Shot, use its Strategy trait: Increase the Shot damage by 1.;6;2;2;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\blue orion.jpg;1;WORSHIPPERS
Council Advisor;166;5;;Slide;Djinn - Wizard - Schemer - Elementalist;Slide - Prestige 1\13\ \13\The value of your Elemental Burst is raised by 1.;4;0;2;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\council advisor.jpg;1;WORSHIPPERS
Ember Blade;175;5;;Strategy;Zealot - Hero - Warrior;Strategy - Flight\13\ \13\The first time each Day you use the Strategy trait, gain 1 Will.\13\\13\{Assault} Exhaust a Worshipper opposed to this card with less or equal Attack Power than this card.;8;3;3;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\ember blade.jpg;1;WORSHIPPERS
Erika's Claws;;5;;Reach;Zealot - Warrior;Reach\13\ \13\{Reaction} When this card climbs : Deal 1 damage to a Worshipper or KKolossus part at distance 1 or less.;3;1;2;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\erika claws.jpg;1;WORSHIPPERS
Futur Watcher;163;5;;Piety;Djinn - Priest - Scholar;Piety 2\13\ \13\{Open} Exhaust this card: Look at the first X cards of you Crusade deck, where X is the number of Scholars you control (maximum 5). Put one of them on top of your Crusade deck and the rest at the bottom, in any order. Gain 2 Adorations if this ability is used during an Assault.;5;2;2;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\future watcher.jpg;1;WORSHIPPERS
General Baran;158;5;U;Fanatism;Djinn - General - Warrior;Fanatism - Strategy - Resilience\13\ \13\{Assault}: Deal X+1 damages to a Worshipper opposed to this card where X is the number of times you used the Strategy trait this Day.;9;3;5;5;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\baran.jpg;1;WORSHIPPERS
Guardian of Wrath;171;5;;Slide;Effrit - Beast - Wizard;Slide - Flight\13\ \13\This card has +1/+0 while unopposed.\13\\13\{Open} Target a Worshipper: Negate the next opponent ability that would move it.;8;2;3;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\guardian faith.jpg;1;WORSHIPPERS
High Commander Kavill;157;5;U;Fanatism;Djinn - TheSource - Scholar - Hero;Fanatism - Slide - Strategy\13\ \13\When this card enters play, add 1 Absolute token on any card you control.\13\\13\{Assaut}: Exhaust a Worshipper opposed to this card. \13\{Devotion} Once per game, if you control at least 2 Wizards and 2 Scholars : Regenerate a destroyed part of your KKolossus with 5 Health Points.;11;4;4;6;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\kavill.jpg;1;WORSHIPPERS
